Titular;Municipio(s);ESTADO;PrimeiroDeSUBS;LONGITUDE;LATITUDE;CFEM;FAIXA OPERAÇÃO CFEM
Agrocity Mineração Ltda;GOUVEIA;MG;QUARTZO ;-43,733987;-18,442973;19829;P2
Alcoa World Alumina Brasil Ltda.;JURUTI;PA;BAUXITA;-56,094998;-2,155253;6620519;P7
Almeida's Mineração e Terraplanagem Ltda;NOVA SANTA HELENA;MT;OURO;-55,183686;-10,851;6078;P1
Alto Vale de Mineraçao Ltda Me;TROMBUDO CENTRAL;SC;FOLHELHO;-49,792478;-27,30302;8164;P1
Amg Mineração S.a.;BOM SUCESSO;MG;CASSITERITA;-51,764465;-23,707437;343082;P4
Anglo American Minério de Ferro Brasil S.a;ALVORADA DE MINAS;MG;FERRO;-43,366084;-18,733593;68370284;P8
Anglo American Níquel Brasil Ltda.;BARRO ALTO;GO;NÍQUEL;-48,915707;-14,973709;4000860;P7
Anglogold Ashanti Córrego do Sítio Mineração S.a.;BARÃO DE COCAIS;MG;FERRO;-43,484882;-19,935847;9066913;P8
Aperam Inox América do Sul S.a.;SENADOR MODESTINO GONÇALVES;MG;MANGANÊS;-43,222975;-17,946025;28709;P2
Arcelormittal Brasil S.A;BELA VISTA DE MINAS;MG;FERRO;-43,096932;-19,825847;2142632;P5
Argos Extração e Beneficiamento de Minerais Ltda;TAUBATÉ;SP;BENTONITA;-45,556609;-23,026556;9465;P1
Avb Mineração Ltda.;CANAÃ DOS CARAJÁS;PA;COBRE;-49,848958;-6,532197;937059;P5
AVG Empreendimentos Minerários S.A;SABARÁ;MG;FERRO;-43,825557;-19,892495;197537;P3
Baovale Mineração Sa.;JOÃO MONLEVADE;MG;FERRO;-43,174571;-19,805639;12101959;P8
Barra do Tiete Comercial e Serviços Ltda;ITAMBÉ;BA;FILITO;-51,990004;-23,660099;51824;P2
Bauminas Mineração Ltda;CACHOEIRO DE ITAPEMIRIM;ES;BAUXITA;-41,111919;-20,850112;38765;P2
Bemil Beneficiamento de Minérios Ltda;ITABIRITO;MG;CAULIM;-43,802143;-20,254177;59552;P3
BENTONIT UNIAO NORDESTE IND.E COM.LTDA;BARRA DE SANTA ROSA;PB;BENTONITA;-36,059773;-6,720253;15268;P1
BRASIL MANGANES LTDA.;CAVALCANTE;GO;MANGANÊS;-47,463436;-13,799279;11808;P2
Brasil Minérios S.a.;SANCLERLÂNDIA;GO;ANTOFILITA;-50,315867;-16,200663;202427;P4
Braskem S.a;MACEIÓ;AL;SALGEMA;-35,70163;-9,660822;225;P1
Briteng Britagem e Construções Ltda;APARECIDA DE GOIÂNIA;GO;MICAXISTO;-49,243326;-16,822147;14831;P2
Cadam S.a.;LARANJAL DO JARI;AP;CAULIM;-52,539021;-0,855665;975209;P5
Calvale Calcinação Vale do Sol Industria e Comercio Ltda;CURRAIS NOVOS;RN;FERRO;-36,516219;-6,264672;1533;P1
Carbomil S A Mineração e Indústria;UMBURANAS;BA;MAGNESITA;-41,332914;-10,729271;128;P1
Carbonífera Belluno Ltda.;COCAL DO SUL;SC;CARVÃO ;-49,327129;-28,603023;200168;P4
Carbonifera do Cambui EIRELI;FIGUEIRA;PR;CARVÃO;-50,409201;-23,843411;382113;P4
CARBONIFERA METROPOLITANA SA;BOM JARDIM DA SERRA;SC;CARVÃO;-49,624978;-28,337947;719278;P5
Carbonífera Palermo Ltda;CACHOEIRA DO SUL;RS;CARVÃO;-52,893413;-30,04582;209203;P4
Casa Grande Mineração Ltda;GRANJA;CE;FELDSPATO;-40,829939;-3,118952;1180;P1
Caulim do Brasil Ltda;IGUATAMA;MG;FILITO;-45,70914;-20,176074;602;P1
Caulinia Minerios Ltda;EQUADOR;RN;CAULIM;-36,716412;-6,945843;5533;P1
Centaurus Brasil Mineração Ltda;PAULISTAS;MG;FERRO;-42,872625;-18,431738;232999;P3
Cerâmica Abelha Ltda Me;TAQUARAÇU DE MINAS;MG;QUARTZO;-43,687143;-19,673848;16899;P1
Cerâmica Cirineu Ltda Epp;TATUÍ;SP;FOLHELHO ;-47,849464;-23,348577;500;P1
CERÂMICA ELIZABETH SUL LTDA;CASTRO;PR;SILTITO;-50,002811;-24,795418;6536;P1
CERAMINA INDÚSTRIA CERÂMICA E MINERAÇÃO LTDA.;CAMPO LARGO;PR;CAULIM;-49,528841;-25,459491;4225;P1
Céramus Bahia S A Produtos Cerâmicos;CAMAÇARI;BA;FILITO;-38,32574;-12,698817;1763;P1
Cetarb Comércio de Minérios Ltda;RIO NEGRO;PR;SILTITO;-54,987502;-19,447429;3568;P1
Chiarelli Mineracao Ltda;PONTA GROSSA;PR;TALCO;-50,161442;-25,092547;32191;P3
Cia de Ferro Ligas da Bahia Ferbasa;ANDORINHA;BA;QUARTZO;-39,832336;-10,34424;179940;P3
Cia de Mineração Serra da Farofa;BRUMADINHO;MG;FERRO;-44,200188;-20,144174;579700;P4
CNB MINERAÇÕES LTDA;CAVALCANTE;GO;MANGANÊS;-47,463436;-13,799279;76559;P1
CNS EMPREENDIMENTOS EM TRANSPORTES E MINERIOS LTDA;CAETÉ;MG;FERRO;-43,664787;-19,887141;6781;P1
